Technology node;Transistor type;Size;Associativity;Access mode;Access time;Cycle time;Tag area;Data area;Read energy per access;Write energy per access
32 nm;itrs-lop;32 kb;2;fast;0.56126 ns;0.804425 ns;0.00473764 mm2;0.0734392 mm2;0.0451011 nJ;0.0551933 nJ
32 nm;itrs-lop;32 kb;4;fast;0.68559 ns;1.74458 ns;0.00483524 mm2;0.141282 mm2;0.161629 nJ;0.170883 nJ
32 nm;itrs-lop;64 kb;4;fast;0.743982 ns;1.82684 ns;0.00840949 mm2;0.183288 mm2;0.165835 nJ;0.186595 nJ
32 nm;itrs-lop;64 kb;4;sequential;1.16132 ns;0.979917 ns;0.00837559 mm2;0.105644 mm2;0.0294681 nJ;0.0371989 nJ
32 nm;itrs-lop;64 kb;8;fast;0.958017 ns;1.74458 ns;0.00861698 mm2;0.95584 mm2;0.920111 nJ;0.945907 nJ
32 nm;itrs-lop;64 kb;8;sequential;1.1602 ns;0.979917 ns;0.00853608 mm2;0.105644 mm2;0.0295288 nJ;0.038322 nJ
32 nm;itrs-lop;8192 kb;4;sequential;4.24459 ns;2.00248 ns;0.916032 mm2;14.0034 mm2;0.576921 nJ;0.582589 nJ
32 nm;itrs-lop;8192 kb;8;sequential;4.24431 ns;2.00248 ns;0.914595 mm2;14.0034 mm2;0.58028 nJ;0.589041 nJ
32 nm;itrs-lstp;1024 kb;4;sequential;3.90203 ns;2.79805 ns;0.114118 mm2;2.00787 mm2;0.543441 nJ;0.572946 nJ
32 nm;itrs-lstp;1024 kb;8;sequential;3.88722 ns;2.79805 ns;0.114074 mm2;2.00787 mm2;0.543954 nJ;0.583897 nJ
32 nm;itrs-lstp;256 kb;4;sequential;2.86393 ns;2.79805 ns;0.0329641 mm2;0.464237 mm2;0.218262 nJ;0.237715 nJ
32 nm;itrs-lstp;256 kb;8;sequential;2.85301 ns;2.79805 ns;0.0333155 mm2;0.464237 mm2;0.218608 nJ;0.240673 nJ
32 nm;itrs-lstp;32 kb;2;fast;1.05772 ns;1.30471 ns;0.00484323 mm2;0.0735296 mm2;0.132053 nJ;0.166116 nJ
32 nm;itrs-lstp;32 kb;4;fast;1.19581 ns;2.44571 ns;0.0048553 mm2;0.14168 mm2;0.48657 nJ;0.519304 nJ
32 nm;itrs-lstp;64 kb;4;fast;1.34605 ns;2.55798 ns;0.0101609 mm2;0.183677 mm2;0.492251 nJ;0.559931 nJ
32 nm;itrs-lstp;64 kb;4;sequential;2.57844 ns;1.57129 ns;0.0101121 mm2;0.0995851 mm2;0.0474004 nJ;0.120308 nJ
32 nm;itrs-lstp;64 kb;8;fast;1.6661 ns;2.44571 ns;0.0083282 mm2;0.957428 mm2;2.83632 nJ;2.91893 nJ
32 nm;itrs-lstp;64 kb;8;sequential;2.53634 ns;1.57129 ns;0.00826554 mm2;0.0995851 mm2;0.0494936 nJ;0.130757 nJ
32 nm;itrs-lstp;8192 kb;4;sequential;7.37395 ns;7.33644 ns;0.841281 mm2;13.0383 mm2;1.5398 nJ;1.54708 nJ
32 nm;itrs-lstp;8192 kb;8;sequential;7.37331 ns;7.33644 ns;0.839034 mm2;13.0383 mm2;1.54545 nJ;1.57743 nJ
